iso_code,family,language_name
mii,otom1299,Chigmecatitlán Mixtec
csg,sign1238,Chilean Sign Language
clc,atha1245,Chilcotin-Nicola
csa,otom1299,Chiltepec Chinantec
cqu,book1242,Chilean Quechua
zoh,mixe1284,Chimalapa Zoque
cid,,Chimariko
qug,quec1387,Bolivar-North Chimborazo Highland Quichua
cbg,chib1249,Chimila
xch,chim1311,Chimakum
chn,chin1490,Creolized Grand Ronde Chinook Jargon
chh,chin1490,Clatsop-Shoalwater Chinook
qxc,quec1387,Chincha Quechua
cbe,book1242,Chipiajes
ciw,algi1248,Chippewa
chp,atha1245,Chipewyan
cap,uruc1242,Chipaya
cax,chiq1253,Lomeriano-Ignaciano Chiquitano
qxa,quec1387,Chiquián Ancash Quechua
maq,otom1299,Chiquihuitlán Mazatec
nhd,tupi1275,Chiripá
ctm,,Chitimacha
zpc,otom1299,Choapan Zapotec
cho,musk1252,Choctaw
coz,otom1299,Chochotec
ctu,maya1287,Chol
cht,hibi1242,Cholón
cti,book1242,"Chol, Tila"
caa,maya1287,Ch'orti'
cjr,book1242,Chorotega
cac,maya1287,Chuj
cnm,book1242,"Chuj, Ixtatán"
chs,book1242,Chumash
cin,tupi1275,Cinta Larga
clm,sali1255,Clallam
nci,utoa1244,Classical Nahuatl
qwc,quec1387,Classical Quechua
xcw,,Coahuilteco
csi,miwo1274,Coast Miwok
mco,mixe1284,Coatlán Mixe
naz,utoa1244,Coatepec Nahuatl
miz,otom1299,Coatzospan Mixtec
zps,otom1299,Coatlán Zapotec
zca,otom1299,Coatecas Altas Zapotec
cod,tupi1275,Cocama-Cocamilla
coj,coch1271,Cochimi
coc,coch1271,Cocopa
crd,sali1255,Coeur d'Alene
con,,Cofán
kog,chib1249,Cogui
csn,sign1238,Colombian Sign Language
gct,indo1319,Colonia Tovar German
cof,barb1265,Tsafiki
col,sali1255,Columbia-Wenatchi
com,utoa1244,Comanche
cco,otom1299,Comaltepec Chinantec
xcm,,Comecrudan
coo,sali1255,Comox
csz,coos1248,Hanis
zoc,mixe1284,Central-South Chiapas Zoque
trc,otom1299,Copala Triqui
coq,atha1245,Coquille
qwa,quec1387,Corongo Ancash Quechua
xxr,nucl1710,Koropó
csr,sign1238,Costa Rican Sign Language
xcn,,Cotoname
cow,sali1255,Cowlitz
kox,book1242,Coxima
coy,book1242,Coyaima
pbf,otom1299,Coyotepec Popoloca
toc,toto1251,Coyutla Totonac
mus,musk1252,Creek
gyn,indo1319,Guyanese Creole English
cro,siou1252,Crow
crz,chum1262,Cruzeño
csf,sign1238,Cuba Sign Language
cub,tuca1253,Cubeo
cui,guah1252,Cuiba
cuy,,Cuitlatec
cul,araw1282,Culina
cuo,cari1283,Cumanagoto
cum,book1242,Cumeral
cup,utoa1244,Cupeño
kpc,araw1281,Curripaco
quz,quec1387,Cusco Quechua
xtu,otom1299,Cuyamecalco Mixtec
dak,siou1252,Dakota
kwa,nada1235,Dâw
ing,atha1245,Degexit'an
dny,araw1282,Deni
des,tuca1253,Desano
dtd,waka1280,Ditidaht
xtd,otom1299,Diuxi-Tilantongo Mixtec
jbt,nucl1710,Djeoromitxí
dgr,atha1245,Dogrib
doq,sign1238,Dominican Sign Language
kee,kere1287,Eastern Keres
ike,eski1264,Eastern Canadian Inuktitut
nhe,utoa1244,Eastern Huasteca Nahuatl
ojg,algi1248,Eastern Ojibwa
aaq,algi1248,Eastern Abenaki
peb,pomo1273,Eastern Pomo
qve,quec1387,Eastern Apurímac Quechua
gui,tupi1275,Eastern Bolivian Guaraní
otm,otom1299,Eastern Highland Otomi
cly,otom1299,Eastern Highland Chatino
azd,utoa1244,Eastern Durango Nahuatl
ecs,sign1238,Ecuadorian Sign Language
zpp,otom1299,El Alto Zapotec
crn,utoa1244,El Nayar Cora
zte,otom1299,Elotepec Zapotec
bdc,choc1280,Emberá-Baudó
cto,choc1280,Emberá-Catío
tdc,choc1280,Emberá-Tadó
cmi,choc1280,Emberá-Chamí
eme,tupi1275,Teko
emo,book1242,Emok
pbh,cari1283,Panare
unk,araw1281,Enawené-Nawé
sja,choc1280,Epena
emy,maya1287,Epigraphic Mayan
ese,pano1259,Ese Ejja
esq,,Esselen
ots,otom1299,Estado de México Otomi
eud,utoa1244,Eudeve
eya,atha1245,Eyak
tlp,toto1251,Filomeno Mata Totonac
zos,mixe1284,Northern Chiapas Zoque
fun,,Fulniô
gce,atha1245,Galice
car,cari1283,Galibi Carib
cab,araw1281,Garifuna
gvo,tupi1275,Gavião Do Jiparaná
git,tsim1258,Gitxsan
gcl,indo1319,Grenadian Creole English
ats,algi1248,Gros Ventre
gcf,indo1319,Guadeloupe-Martinique Creole French
guh,guah1252,Sikuani
gvj,tupi1275,Guajá
gum,barb1265,Guambiano
gva,leng1261,Guaná (Paraguay)
gvc,tuca1253,Kotiria
gyr,tupi1275,Guarayu
gae,araw1281,Baniva de Maroa
gsm,sign1238,Guatemalan Sign Language
gta,,Guató
guo,guah1252,Guayabero
ngu,utoa1244,Central Guerrero Nahuatl
amu,otom1299,Guerrero Amuzgo
zpg,otom1299,Guevea De Humboldt Zapotec
gcr,indo1319,Guianese Creole French
ztu,otom1299,Güilá Zapotec
gul,indo1319,Sea Island Creole English
gwi,atha1245,Gwich'in
has,waka1280,Haisla
hvc,uncl1493,Haitian Vodoun Culture Language
hat,indo1319,Haitian
hur,sali1255,Halkomelem
haa,atha1245,Han
yuf,coch1271,Havasupai-Walapai-Yavapai
hei,waka1280,Heiltsuk-Oowekyala
hib,hibi1242,Hibito
hid,siou1252,Hidatsa
chd,tequ1244,Highland Oaxaca Chontal
tos,toto1251,Highland Totonac
poi,mixe1284,Highland Popoluca
azz,utoa1244,Highland Puebla Nahuatl
hir,unat1236,Himarimã
hix,cari1283,Hixkaryána
win,siou1252,Ho-Chunk
hoi,atha1245,Holikachuk
hds,sign1238,Honduras Sign Language
hop,utoa1244,Hopi
hug,hara1260,Huachipaeri
qub,quec1387,Huallaga Huánuco Quechua
hub,jiva1245,Huambisa
qvh,quec1387,Huamalíes-Dos de Mayo Huánuco Quechua
var,utoa1244,Huarijio
hus,maya1287,Huastec
hva,book1242,"Huastec, San Luís Potosí"
hsf,book1242,"Huastec, Southeastern"
mau,otom1299,Huautla Mazatec
nhq,utoa1244,Huaxcaleca Nahuatl
qwh,quec1387,Huaylas Ancash Quechua
qvw,quec1387,Huaylla Wanca Quechua
tee,toto1251,Huehuetla Tepehua
hch,utoa1244,Huichol
huh,arau1255,Huilliche
mxs,otom1299,Huitepec Mixtec
hup,atha1245,Hupa-Chilula
jup,nada1235,Hup
geh,indo1319,Hutterite German
iap,book1242,Iapama
ign,araw1281,Ignaciano
txi,cari1283,Ikpeng
qvi,quec1387,Imbabura Highland Quichua
inp,araw1281,Iñapari
inz,chum1262,Ineseño
inb,quec1387,Colombian Inga
iks,sign1238,Inuit Sign Language
iow,siou1252,Iowa-Oto
azm,otom1299,Ipalapa Amuzgo
iqu,zapa1251,Iquito
irn,,Irántxe-Münkü
isc,pano1259,Isconahua
crb,araw1281,Island Carib
mir,mixe1284,Isthmus Mixe
nhk,utoa1244,Isthmus-Cosoleacaque Nahuatl
nhp,utoa1244,Isthmus-Pajapan Nahuatl
nhx,utoa1244,Isthmus-Mecayapan Nahuatl
zai,otom1299,Isthmus Zapotec
ite,chap1271,Itene
ito,,Itonama
mce,otom1299,Itundujia Mixtec
itz,maya1287,Itza'
ixc,otom1299,Ixcatec
mzi,otom1299,Ixcatlán Mazatec
ixl,maya1287,Ixil
vmj,otom1299,Ixtayutla Mixtec
otz,otom1299,Ixtenco Otomi
crt,mata1289,Riverine Chorote
crq,mata1289,Forest Chorote
jai,book1242,"Jakalteko, Western"
maj,otom1299,Jalapa De Díaz Mazatec
jcs,sign1238,Jamaican Country Sign Language
jaa,araw1282,Madi
jam,indo1319,Jamaican Creole English
jls,sign1238,Jamaican Sign Language
mxt,otom1299,Jamiltepec Mixtec
jru,cari1283,Japrería
jqr,ayma1253,Jaqaru
qxw,quec1387,Jauja Wanca Quechua
jeb,cahu1265,Jebero
tow,kiow1265,Towa
apj,atha1245,Jicarilla Apache
jor,tupi1275,Jorá
jua,tupi1275,Júma
mxq,mixe1284,Juquila Mixe
jur,tupi1275,Yudja
vmc,otom1299,Juxtlahuaca Mixtec
xbx,book1242,Kabixí
kbc,guai1249,Kadiwéu
xai,uncl1493,Kaimbé
kgp,nucl1710,Kaingang
kgk,tupi1275,Kaiwá
kbf,book1242,Kakauhua
kal,eski1264,Kalaallisut
kyl,kala1402,Central Kalapuya
fla,sali1255,Kalispel-Pend d'Oreille
vkm,kama1371,Kamakan
kay,tupi1275,Kamayurá
xbw,uncl1493,Kambiwá
xba,book1242,Kamba (Brazil)
knm,katu1274,Katukína-Kanamarí
kxo,,Kanoê
ksk,siou1252,Kansa
xpn,uncl1493,Kapinawá
cak,maya1287,Kaqchikel
cbm,book1242,"Kaqchikel, Yepocapa Southwestern"
ckd,book1242,"Kaqchikel, South Central"
cke,book1242,"Kaqchikel, Eastern"
ckf,book1242,"Kaqchikel, Southern"
ckc,book1242,"Kaqchikel, Northern"
cki,book1242,"Kaqchikel, Santa María de Jesús"
ckk,book1242,"Kaqchikel, Akatenango Southwestern"
ckj,book1242,"Kaqchikel, Santo Domingo Xenacoj"
ckw,book1242,"Kaqchikel, Western"
zkk,,Karankawa
xkh,unat1236,Karahawyana
kpj,nucl1710,Karajá
kzw,uncl1493,Karirí-Xocó
kmv,indo1319,Uaçá Creole French
kgm,book1242,Karipuna do Amapa
ktn,tupi1275,Karitiâna
kuq,tupi1275,Karipúna
krb,miwo1274,Karkin
kyh,,Karuk
arr,tupi1275,Karo (Brazil)
kju,pomo1273,Kashaya
kkz,atha1245,Kaska
xat,katu1274,Katawixi
ktw,atha1245,Kato
xaw,utoa1244,Kawaiisu
ktx,pano1259,Kaxararí
kbb,cari1283,Kaxuiâna
kyz,tupi1275,Kayabí
txu,nucl1710,Mebengokre
kek,maya1287,Q'eqchi'
kpn,tupi1275,Kepkiriwát
quc,maya1287,K'iche'
qxi,book1242,"K'iche', San Andrés"
cun,book1242,"K'iche', Cunén"
quu,book1242,"K'iche', Eastern"
qut,book1242,"K'iche', West Central"
quj,book1242,"K'iche', Joyabaj"
kic,algi1248,Kickapoo
klb,coch1271,Kiliwa
apk,atha1245,Kiowa Apache
kio,kiow1265,Kiowa
kii,cadd1255,Kitsai
kla,,Klamath-Modoc
tlh,arti1236,Klingon
cku,musk1252,Koasati
coe,tuca1253,Koreguaje
xor,pano1259,Korubo
avk,arti1236,Kotava
koy,atha1245,Koyukon
kqq,nucl1710,Borum
xre,nucl1710,Northeastern Timbira
kui,cari1283,Kuikúro-Kalapálo
xpk,pano1259,Kulina Pano
dih,coch1271,Tipai
kuz,,Kunza
kyr,tupi1275,Kuruáya
kut,,Kutenai
kwk,waka1280,Kwak'wala
qwt,atha1245,Kwalhioqua-Clatskanie
xwa,,Kwaza
kww,indo1319,Kwinti
ldn,arti1236,Láadan
lac,maya1287,Lacandon
zpl,otom1299,Lachixío Zapotec
zpa,otom1299,Lachiguiri Zapotec
lmw,miwo1274,Lake Miwok
lkt,siou1252,Lakota
lkd,namb1299,Lakondê
cnl,otom1299,Lalana Chinantec
quf,quec1387,Lambayeque Quechua
ztl,otom1299,Lapaguía-Guivini Zapotec
ltn,namb1299,Latundê
lre,iroq1247,Laurentian
cle,otom1299,Lealao Chinantec
lec,,Leco
lil,sali1255,Lillooet
qlm,indo1319,Limonese Creole
lfn,arti1236,Lingua Franca Nova
apl,atha1245,Lipan Apache
qvj,quec1387,Loja Highland Quichua
jbo,arti1236,Lojban
spq,indo1319,Peruvian Amazonian Spanish
lou,indo1319,Louisiana Creole French
xlo,algi1248,Nipmuck
xlb,algi1248,Loup B
taa,atha1245,Lower Tanana
cea,sali1255,Lower Chehalis
clo,tequ1244,Lowland Oaxaca Chontal
tac,utoa1244,Western Tarahumara
ztp,otom1299,Loxicha Zapotec
luq,atla1278,Lucumi
lui,utoa1244,Luiseno-Juaneño
ule,,Lule
lmz,unat1236,Lumbee
lut,sali1255,Northern Lushootseed
mbn,guah1252,Hitnu
mca,mata1289,Maká
mcl,tuca1253,Macaguaje
mcb,araw1281,Machiguenga
mpd,araw1281,Machinere
wpc,sali1297,Maco
mbc,cari1283,Macushi
myy,tuca1253,Macuna
xtm,otom1299,Magdalena Peñasco Mixtec
mjy,algi1248,Mahican
myh,waka1280,Makah
xak,,Máku
mpu,tupi1275,Makuráp
mbp,chib1249,Malayo
pqm,algi1248,Malecite-Passamaquoddy
gut,chib1249,Maléku Jaíka
tcf,otom1299,Malinaltepec Me'phaa
wmd,namb1299,Mamaindé
mvc,book1242,"Mam, Central"
mam,maya1287,Mam
mms,book1242,"Mam, Southern"
mpf,book1242,"Mam, Tajumulco"
mvj,book1242,"Mam, Todos Santos Cuchumatán"
mhq,siou1252,Mandan
mht,araw1281,Mandahuaca
mpw,araw1281,Mapidian-Mawayana
mcg,cari1283,Mapoyo
arn,arau1255,Mapudungun
mch,cari1283,Ye'kwana
qvm,quec1387,Margos-Yarowilca-Lauricocha Quechua
nsr,sign1238,Maritime Sign Language
mrc,coch1271,Maricopa
msp,tupi1275,Manitsauá
mre,sign1238,Martha's Vineyard Sign Language
mzr,pano1259,Marúbo
cuj,araw1281,Mashco Piro
mhh,book1242,Maskoy Pidgin
mtn,misu1242,Matagalpa
mzo,cari1283,Matipuhy
mpq,pano1259,Matís
axg,,Mato Grosso Arára
mcf,pano1259,Matsés
mvb,atha1245,Mattole-Bear River
mzx,book1242,Mawayana
mbl,nucl1710,Maxakalí
yan,misu1242,Mayangna
yus,book1242,"Maya, Chan Santa Cruz"
mfy,utoa1244,Mayo
mzl,mixe1284,Mazatlán Mixe
zpy,otom1299,Mazaltepec Zapotec
vmz,otom1299,Mazatlán Mazatec
gun,tupi1275,Mbyá Guaraní
mue,mixe1287,Media Lengua
mmh,araw1281,Mehináku
mez,algi1248,Menominee
apm,atha1245,Mescalero-Chiricahua Apache
sac,algi1248,Meskwaki
mxv,otom1299,Metlatónoc Mixtec
