iso_code,family,language_name
yum,coch1271,Quechan
otq,otom1299,Querétaro Otomi
pxm,book1242,Quetzaltepec Mixe
zpj,otom1299,Quiavicuzas Zapotec
qui,chim1311,Quileute
qun,sali1255,Quinault
chq,otom1299,Quiotepec Chinantec
ztq,otom1299,Quioquitani-Quieri Zapotec
rma,chib1249,Rama
zor,mixe1284,Northeast Chiapas Zoque
rem,pano1259,Remo of the Moa river
rgr,araw1281,Resígaro
rey,pano1259,Reyesano
rkb,nucl1710,Rikbaktsa
zar,otom1299,Rincón Zapotec
hrx,indo1319,Hunsrik
rmv,arti1236,Romanova
rna,unat1236,Runa
sae,namb1299,Sabanê
quv,maya1287,Sacapulteco
acf,indo1319,Saint Lucian Creole French
skf,tupi1275,Mekens
qxl,quec1387,Tungurahua Highland Quichua
mnd,tupi1275,Salamãi
sln,,Salinan
slc,sali1297,Sáliba
slj,book1242,Salumá
esn,sign1238,Salvadoran Sign Language
sap,book1242,Sanapaná (Retired)
ztm,otom1299,San Agustín Mixtepec Zapotec
icr,indo1319,San Andres Creole English
spn,leng1261,Sanapaná
zpx,otom1299,San Baltazar Loxicha Zapotec
cuk,chib1249,San Blas Kuna
hve,huav1256,San Dionisio del Mar Huave
hue,huav1256,San Francisco del Mar Huave
mat,otom1299,San Francisco Matlatzinca
pow,otom1299,San Felipe Otlaltepec Popoloca
xso,uncl1493,San Francisco Solano
mjc,otom1299,San Juan Colorado Mixtec
xtj,otom1299,Teita-Tataltepec Mixtec
zab,otom1299,Western Tlacolula Valley Zapotec
poe,otom1299,San Juan Atzingo Popoloca
maa,otom1299,San Jerónimo Tecóatl Mazatec
pps,otom1299,San Luís Temalacayuca Popoloca
huv,huav1256,San Mateo del Mar Huave
qvs,quec1387,San Martín Quechua
xtp,otom1299,San Miguel Piedras Mixtec
mig,otom1299,San Miguel El Grande Mixtec
trq,otom1299,San Martín Itunyoso Triqui
pls,otom1299,San Marcos Tlalcoyalco Popoloca
azg,otom1299,San Pedro Amuzgos Amuzgo
zpf,otom1299,San Pedro Quiatoni Zapotec
hvv,huav1256,Santa María del Mar Huave
nhz,utoa1244,Santa María La Alta Nahuatl
cok,utoa1244,Santa Teresa Cora
qus,quec1387,Santiago del Estero Quichua
mza,otom1299,Santa María Zacatepec Mixtec
mdv,otom1299,Santa Lucía Monteverde Mixtec
zpn,otom1299,Santa Inés Yatzechi Zapotec
ztn,otom1299,Santa Catarina Albarradas Zapotec
zas,otom1299,Santo Domingo Albarradas Zapotec
zpi,otom1299,Santa María Quiegolani Zapotec
zpr,otom1299,Santiago Xanica Zapotec
pca,otom1299,Santa Inés Ahuatempan Popoloca
xsu,yano1268,Sanumá
zpt,otom1299,San Vicente Coatlán Zapotec
zkp,nucl1710,São Paulo Kaingáng
spc,,Sapé
sar,araw1281,Saraveca
srm,indo1319,Saramaccan
srs,atha1245,Sarsi
mav,tupi1275,Sateré-Mawé
pos,mixe1284,Sayula Popoluca
sec,sali1255,Sechelt
sey,tuca1253,Secoya
sek,atha1245,Sekani
see,iroq1247,Seneca
sni,pano1259,Sensi
sei,,Seri
ser,utoa1244,Serrano
ojs,algi1248,Severn Ojibwa
swo,pano1259,Shanenawa
mcd,pano1259,Sharanahua
sht,shas1238,Shasta
sjw,algi1248,Shawnee
snh,unat1236,Shinabo
shp,pano1259,Shipibo-Conibo
shh,utoa1244,Shoshoni
jiv,jiva1245,Shuar
shs,sali1255,Shuswap
nsu,utoa1244,Sierra Negra Nahuatl
zaa,otom1299,Sierra de Juárez Zapotec
qws,quec1387,Sihuas Ancash Quechua
sik,book1242,Sikiana
bla,algi1248,Siksika
mks,otom1299,Silacayoapan Mixtec
xts,otom1299,Sindihui Mixtec
xti,otom1299,Sinicahua Mixtec
snn,tuca1253,Siona-Tetete
qum,maya1287,Sipacapense
srq,tupi1275,Sirionó
sri,tuca1253,Siriano
sis,,Siuslaw
lsv,sign1238,Sivia Sign Language
skw,indo1319,Skepi Creole Dutch
cso,otom1299,Sochiapam Chinantec
hax,haid1248,Southern Haida
tce,atha1245,Southern Tutchone
caf,atha1245,Southern Carrier
xsl,atha1245,South Slavey
tix,kiow1265,Southern Tiwa
slh,sali1255,Southern Puget Sound Salish
twr,utoa1244,Southwestern Tarahumara
tcu,utoa1244,Southeastern Tarahumara
npl,utoa1244,Southeastern Puebla Nahuatl
stp,utoa1244,Southeastern Tepehuan
tla,utoa1244,Southwestern Tepehuan
crj,algi1248,Southern East Cree
pom,pomo1273,Southeastern Pomo
peq,pomo1273,Southern Pomo
skd,miwo1274,Southern Sierra Miwok
enx,leng1261,Enxet Sur
qup,quec1387,Southern Pastaza Quechua
quh,quec1387,South Bolivian Quechua
qxo,quec1387,Southern Conchucos Ancash Quechua
nab,namb1299,Southern Nambikuára
ayc,ayma1253,Southern Aymara
pmz,otom1299,Southern Pame
meh,otom1299,Southwestern Tlaxiaco Mixtec
mit,otom1299,Southern Puebla Mixtec
mxy,otom1299,Southeastern Nochixtlán Mixtec
zpd,otom1299,Southeastern Ixtlán Zapotec
cpy,araw1281,South Ucayali Ashéninka
vmq,otom1299,Soyaltepec Mixtec
vmp,otom1299,Soyaltepec Mazatec
spo,sali1255,Spokane
squ,sali1255,Squamish
srn,indo1319,Sranan Tongo
sto,siou1252,Stoney
str,sali1255,Northern Straits Salish
sut,otom1299,Subtiaba
mdz,tupi1275,Suruí Do Pará
sru,tupi1275,Suruí
swx,araw1282,Suruahá
sqn,iroq1247,Susquehannock
suy,nucl1710,Suyá
csw,algi1248,Swampy Cree
zoq,mixe1284,Tabasco Zoque
nhc,utoa1244,Tabasco Nahuatl
chf,maya1287,Tabasco Chontal
zat,otom1299,Tabaa Zapotec
tna,pano1259,Tacana
xtt,otom1299,Tacahua-Yolotepec Mixtec
mtz,book1242,Tacanec
tgx,atha1245,Tagish
tht,atha1245,Tahltan
tnq,araw1281,Taino
tkm,,Takelma
tzl,arti1236,Talossan
tmz,cari1283,Tamanaku
vmx,otom1299,Tamazola Mixtec
ten,tuca1253,Tama (Colombia)
tfn,atha1245,Dena'ina
tcb,atha1245,Tanacross
tnc,tuca1253,Tanimuca-Retuarã
qcs,mixe1284,Tapachultec
tbb,book1242,Tapeba
tpj,tupi1275,Tapieté
taf,tupi1275,Tapirapé
tae,araw1281,Tariana
tdm,,Taruma
cta,otom1299,Tataltepec Chatino
tav,tuca1253,Tatuyo
trr,,Taushiro
xtw,namb1299,Tawandê
tcw,toto1251,Tecpatlán Totonac
teh,chon1288,Tehuelche
ztt,otom1299,Tejalapan Zapotec
ttc,maya1287,Tektiteko
nhv,utoa1244,Temascaltepec Nahuatl
tqb,tupi1275,Tenetehara
ott,otom1299,Temoaya Otomi
quw,quec1387,Tena Lowland Quichua
otn,otom1299,Tenango Otomi
pah,tupi1275,Tenharim-Parintintin-Diahoi
tqn,saha1239,Tenino
tep,utoa1244,Tepecano
cnt,otom1299,Tepetotutla Chinantec
cux,otom1299,Tepeuxila Cuicatec
cte,otom1299,Tepinapa Chinantec
ter,araw1281,Terena-Kinikinao-Chane
tfr,chib1249,Teribe
nhg,utoa1244,Tetelcingo Nahuatl
teb,book1242,Tetete
cut,otom1299,Teutila Cuicatec
tew,kiow1265,Rio Grande Tewa
otx,otom1299,Texcatepec Otomi
poq,mixe1284,Texistepec Popoluca
zpz,otom1299,Texmelucan Zapotec
mxb,otom1299,Tezoatlán Mixtec
thp,sali1255,Thompson
tca,ticu1244,Ticuna
mtx,otom1299,Tidaá Mixtec
xtl,otom1299,Tijaltepec Mixtec
otl,otom1299,Tilapa Otomi
til,sali1255,Tillamook
zts,otom1299,Tilquiapan Zapotec
tjm,,Timucua
tgv,book1242,Tingui-Boto
tit,,Tinigua
tpt,toto1251,Tlachichilco Tepehua
tpl,otom1299,Tlacoapa Me'phaa
ctl,otom1299,Tlacoatzintepec Chinantec
zpk,otom1299,Tlacolulita Zapotec
mxp,mixe1284,Tlahuitoltepec Mixe
nuz,utoa1244,Tlamacazapa Nahuatl
mqh,otom1299,Tlazoyaltepec Mixtec
tli,atha1245,Tlingit
tmf,leng1261,Toba-Enenlhet
tob,guai1249,Toba
tgh,indo1319,Tobagonian Creole English
asu,tupi1275,Tocantins Asurini
ood,utoa1244,Tohono O'odham
toj,maya1287,Tojolabal
tok,arti1236,Toki Pona
jic,jica1245,Tol
tol,atha1245,Tolowa-Chetco
toe,book1242,Tomedes
xgf,utoa1244,Tongva
tqw,,Tonkawa
trz,chap1271,Torá
tno,pano1259,Toromono
mto,mixe1284,Totontepec Mixe
ttk,barb1265,Totoro
zph,otom1299,Totomachapan Zapotec
tme,unat1236,Tremembé
trn,araw1281,Trinitario-Javeriano-Loretano
trf,indo1319,Trinidadian Creole English
lst,sign1238,Modern Trinidad and Tobago Sign Language
tri,cari1283,Trió
tka,unat1236,Truká
tpy,,Trumai
txc,atha1245,Tsetsaut
nrt,kala1402,Tualatin-Yamhill
tub,utoa1244,Tübatulabal
tbu,utoa1244,Tubar
tuo,tuca1253,Tucano
tkf,unat1236,Tukumanféd
tun,,Tunica
tpr,tupi1275,Tuparí
tpn,tupi1275,Tupinambá
twt,tupi1275,Turiwára
tch,indo1319,Turks And Caicos Creole English
tus,iroq1247,Tuscarora
tta,siou1252,Tutelo
tuu,atha1245,Tututni
mtu,otom1299,Tututepec Mixtec
tud,,Tuxá
tux,pano1259,Tuxináwa
tue,tuca1253,Tuyuca
twa,sali1255,Twana
tzh,maya1287,Tzeltal
tzb,book1242,"Tzeltal, Bachajón"
tzo,maya1287,Tzotzil
tzs,book1242,"Tzotzil, San Andrés Larrainzar"
tzu,book1242,"Tzotzil, Huixtán"
tzc,book1242,"Tzotzil, Chamula"
tze,book1242,"Tzotzil, Chenalhó"
tzz,book1242,"Tzotzil, Zinacantán"
tzj,maya1287,Tz'utujil
tzt,book1242,"Tz'utujil, Western"
uam,uncl1493,Uamué
cpb,araw1281,Ucayali-Yurúa Ashéninka
ulw,misu1242,Ulwa
uma,saha1239,Umatilla
umo,boro1281,Umotína
unm,algi1248,Unami
tku,toto1251,Upper Necaxa Totonac
xup,atha1245,Upper Umpqua
tau,atha1245,Upper Tanana
kuu,atha1245,Upper Kuskokwim
cjh,sali1255,Upper Chehalis
ura,,Urarina
uks,sign1238,Urubú-Kaapor Sign Language
urb,tupi1275,Urubú-Kaapor
urz,tupi1275,Uru-Eu-Wau-Wau
ugy,sign1238,Uruguayan Sign Language
uru,tupi1275,Urumi
urp,uncl1493,Uru-Pa-In
ure,uruc1242,Uru
cuc,otom1299,Usila Chinantec
usp,maya1287,Uspanteco
ute,utoa1244,Ute-Southern Paiute
vmv,maid1262,Valley Maidu
cvn,otom1299,Valle Nacional Chinantec
vsl,sign1238,Venezuelan Sign Language
veo,chum1262,Ventureño
vil,,Vilela
svc,indo1319,Vincentian Creole English
vic,indo1319,Virgin Islands Creole English
wlk,atha1245,Eel River Athabaskan
atr,cari1283,Waimiri-Atroari
bao,tuca1253,Waimaha
waw,cari1283,Waiwai
waf,unat1236,Wakoná
waa,saha1239,Northeast Sahaptin
wam,algi1248,Wampanoag
qyp,algi1248,Wampano
auc,,Waorani
wap,araw1281,Wapishana
wao,yuki1242,Wappo
wba,,Warao
pav,chap1271,Wari'
wac,chin1490,Upper Chinook
was,,Washo
wsu,unat1236,Wasu
wau,araw1281,Waurá
way,cari1283,Wayana
oym,tupi1275,Wayampi
wyr,tupi1275,Wayoró
guc,araw1281,Wayuu
ojw,algi1248,Western Ojibwa
tqt,toto1251,Ozumatlán Totonac
apw,atha1245,Western Apache
ikt,eski1264,Western Canadian Inuktitut
nhw,utoa1244,Western Huasteca Nahuatl
abe,algi1248,Western Abenaki
pua,tara1323,Western Highland Purepecha
kjq,kere1287,Western Keres
knj,maya1287,Akateko
gnw,tupi1275,Western Bolivian Guaraní
jmx,otom1299,Western Juxtlahuaca Mixtec
ctp,otom1299,Western Highland Chatino
tnb,chib1249,Western Tunebo
azn,utoa1244,Western Durango Nahuatl
wic,cadd1255,Wichita
mtp,mata1289,Weenhayek
wlv,mata1289,Vejoz
mzh,mata1289,Güisnay
wit,wint1258,Wintu
wir,tupi1275,Wiraféd
wiy,algi1248,Wiyot
xwc,siou1252,Woccon
cwd,algi1248,Woods Cree
noa,choc1280,Woun Meu
wya,iroq1247,Huron-Wyandot
zax,otom1299,Xadani Zapotec
xkr,nucl1710,Xakriabá
ztg,otom1299,Xanaguía Zapotec
xav,nucl1710,Xavánte
xer,nucl1710,Xerénte
xet,tupi1275,Xetá
too,toto1251,Xicotepec De Juárez Totonac
asn,tupi1275,Xingú Asuriní
xiy,tupi1275,Xipaya
xip,unat1236,Xipináwa
xir,araw1281,Xiriâna
xok,nucl1710,Xokleng
xoo,,Xukurú
yar,cari1283,Yabarana
ybn,araw1281,Yabaâna-Mainatari
yad,peba1241,Yagua
ynu,tuca1253,Yahuna
yak,saha1239,Northwest Sahaptin
xyl,unat1236,Yalakalore
zpu,otom1299,Yalálag Zapotec
yag,,Yámana
yme,peba1241,Yameo
yaa,pano1259,Yaminahua
ynn,,Yana
qur,quec1387,Chaupihuaranga Quechua
ame,araw1281,Yanesha'
guu,yano1268,Yanomamö
wca,yano1268,Yanomám
yaq,utoa1244,Yaqui
zae,otom1299,Yareni Zapotec
yri,book1242,Yarí
yro,yano1268,Yaroame
zty,otom1299,Yatee Zapotec
zav,otom1299,Yatzachi Zapotec
zpb,otom1299,Yautepec Zapotec
qux,quec1387,Yauyos Quechua
yvt,araw1281,Yavitero-Pareni
ywn,pano1259,Yawanawa
yaw,araw1281,Yawalapití
tlc,toto1251,Yecuatla Totonac
pib,araw1281,Yine
yok,yoku1255,Northern Yokuts
xty,otom1299,Yoloxochitl Mixtec
sxk,kala1402,Yoncalla
mts,pano1259,Yora
mpm,otom1299,Yosondúa Mixtec
msd,sign1238,Yucatec Maya Sign Language
yua,maya1287,Yucatec Maya
yuc,,Yuchi
mvg,otom1299,Yucuañe Mixtec
ycn,araw1281,Yucuna
yab,nada1235,Yuhup
yuk,yuki1242,Northern Yukian
yup,cari1283,Yukpa
yuq,tupi1275,Yuqui
yuz,,Yuracaré
yur,algi1248,Yurok
yui,tuca1253,Yurutí
mab,otom1299,Yutanduchi Mixtec
yau,,Hoti
ztx,otom1299,Zaachila Zapotec
nhi,utoa1244,Zacatlán-Ahuacatlán-Tepetzintla Nahuatl
ctz,otom1299,Zacatepec Chatino
zpw,otom1299,Zaniza Zapotec
zro,zapa1251,Záparo
czn,otom1299,Zenzontepec Chatino
pto,tupi1275,Zo'é
zpq,otom1299,Zoogocho Zapotec
zun,,Zuni
